Time [s], Analyzer Name, Decoded Protocol Result
6.992630250000000,Async Serial,0x05
7.002682750000000,Async Serial,0x21
7.012632687500000,Async Serial,0x31
7.022581750000000,Async Serial,0x09
7.032531875000000,Async Serial,0x60
7.042584375000000,Async Serial,0xA1
7.095994750000000,Async Serial,0x05
7.106330125000000,Async Serial,0x31
7.119146562500000,Async Serial,0x21
7.128137812500000,Async Serial,0xFF
7.135993937500000,Async Serial,0x03
7.146225875000000,Async Serial,0xD5
7.181980375000000,Async Serial,0x05
7.191930812500000,Async Serial,0x21
7.201983000000000,Async Serial,0x31
7.211933312500000,Async Serial,0x09
7.221881937500000,Async Serial,0x60
7.231832687500000,Async Serial,0xA1
7.307356250000000,Async Serial,0x05
7.316245687500000,Async Serial,0x31
7.329061437500000,Async Serial,0x21
7.338055562500000,Async Serial,0xFF
7.346945750000000,Async Serial,0x03
7.359764500000000,Async Serial,0xD5
7.391541000000000,Async Serial,0x05
7.401594062500000,Async Serial,0x21
7.411543937500000,Async Serial,0x31
7.421803875000000,Async Serial,0x09
7.431857437500000,Async Serial,0x60
7.441184812500000,Async Serial,0xA1
7.516556687500000,Async Serial,0x05
7.528131812500000,Async Serial,0x31
7.537951250000000,Async Serial,0x21
7.546944750000000,Async Serial,0xFF
7.558833000000000,Async Serial,0x03
7.568651375000000,Async Serial,0xD5
7.600479062500000,Async Serial,0x05
7.610532062500000,Async Serial,0x21
7.620585812500000,Async Serial,0x31
7.630638750000000,Async Serial,0x09
7.640484687500000,Async Serial,0x60
7.650434125000000,Async Serial,0xA1
7.718413687500000,Async Serial,0x05
7.727302187500000,Async Serial,0x31
7.737121625000000,Async Serial,0x21
7.747559812500000,Async Serial,0xFF
7.757482250000000,Async Serial,0x03
7.767817437500000,Async Serial,0xD5
7.799882812500000,Async Serial,0x05
7.809831875000000,Async Serial,0x21
7.819781562500000,Async Serial,0x31
7.829730812500000,Async Serial,0x09
7.839784437500000,Async Serial,0x60
7.849733687500000,Async Serial,0xA1
7.918303125000000,Async Serial,0x05
7.927501687500000,Async Serial,0x31
7.940008187500000,Async Serial,0x21
7.949001625000000,Async Serial,0xFF
7.957891062500000,Async Serial,0x03
7.970708812500000,Async Serial,0xD5
8.009131750000000,Async Serial,0x05
8.019081812500000,Async Serial,0x21
8.029030499999999,Async Serial,0x31
8.039084000000001,Async Serial,0x09
8.049033187499999,Async Serial,0x60
8.058982937500000,Async Serial,0xA1
8.127808375000001,Async Serial,0x05
8.139178312500000,Async Serial,0x31
8.148893500000000,Async Serial,0x21
8.157887625000001,Async Serial,0xFF
8.169773187500001,Async Serial,0x03
8.179592875000001,Async Serial,0xD5
8.218381500000000,Async Serial,0x08
8.228330687500000,Async Serial,0x21
8.238384187500000,Async Serial,0x31
8.248333375000000,Async Serial,0x0B
8.258282937500001,Async Serial,0x00
8.268232062499999,Async Serial,0x0E
8.278182500000000,Async Serial,0x23
8.288131000000000,Async Serial,0x40
8.298184687499999,Async Serial,0x93
8.368837875000001,Async Serial,0x05
8.378039062499999,Async Serial,0x31
8.390546687500001,Async Serial,0x21
8.398712062500000,Async Serial,0xFF
8.408532687499999,Async Serial,0x03
8.418144750000000,Async Serial,0xD5
8.457582937500000,Async Serial,0x05
8.467531749999999,Async Serial,0x21
8.477482125000000,Async Serial,0x31
8.487430750000000,Async Serial,0x09
8.497484625000000,Async Serial,0x60
8.507433250000000,Async Serial,0xA1
8.579172625000000,Async Serial,0x05
8.589610937500000,Async Serial,0x31
8.599432437500001,Async Serial,0x21
8.610490812500000,Async Serial,0xFF
8.619276812500001,Async Serial,0x03
8.632198312500000,Async Serial,0xD5
8.666831812500000,Async Serial,0x05
8.676782312500000,Async Serial,0x21
8.686834375000000,Async Serial,0x31
8.696784500000000,Async Serial,0x09
8.706732875000000,Async Serial,0x60
8.716683687500000,Async Serial,0xA1
8.779996750000001,Async Serial,0x05
8.792504437500000,Async Serial,0x31
8.800568250000000,Async Serial,0x21
8.810386687499999,Async Serial,0xFF
8.819482187500000,Async Serial,0x03
8.829094312500001,Async Serial,0xD5
8.866131500000000,Async Serial,0x05
8.876081750000001,Async Serial,0x21
8.886134062500000,Async Serial,0x31
8.896084374999999,Async Serial,0x09
8.906032812500000,Async Serial,0x60
8.915983062500001,Async Serial,0xA1
8.979891812500000,Async Serial,0x05
8.989505749999999,Async Serial,0x31
9.001598687500000,Async Serial,0x21
9.009659937500000,Async Serial,0xFF
9.019479499999999,Async Serial,0x03
9.030023125000000,Async Serial,0xD5
9.065431500000001,Async Serial,0x05
9.075485000000001,Async Serial,0x21
9.085434062499999,Async Serial,0x31
9.095384125000001,Async Serial,0x09
9.105332875000000,Async Serial,0x60
9.115283249999999,Async Serial,0xA1
9.190223812499999,Async Serial,0x05
9.200353312500001,Async Serial,0x31
9.213066062499999,Async Serial,0x21
9.219680812500000,Async Serial,0xFF
9.229913000000000,Async Serial,0x03
9.239733937500001,Async Serial,0xD5
9.274681125000001,Async Serial,0x08
9.284733937500000,Async Serial,0x21
9.294684125000000,Async Serial,0x31
9.304633000000001,Async Serial,0x0B
9.314582812499999,Async Serial,0xFF
9.324532000000000,Async Serial,0x14
9.334585375000000,Async Serial,0x23
9.344638812500000,Async Serial,0x90
9.354795062499999,Async Serial,0x9C
9.432078187500000,Async Serial,0x05
9.440967062500000,Async Serial,0x31
9.453681874999999,Async Serial,0x21
9.460298625000000,Async Serial,0xFF
9.470428937500000,Async Serial,0x03
9.480248124999999,Async Serial,0xD5
9.513881874999999,Async Serial,0x06
9.523832250000000,Async Serial,0x21
9.533885187499999,Async Serial,0x31
9.543834187500000,Async Serial,0x29
9.553783375000000,Async Serial,0x00
9.563734250000000,Async Serial,0xE0
9.573682125000000,Async Serial,0xCB
9.620917000000000,Async Serial,0x09
9.660605812500000,Async Serial,0x05
9.671974000000001,Async Serial,0x31
9.681795937500000,Async Serial,0x21
9.690890250000001,Async Serial,0xFF
9.700813187500000,Async Serial,0x03
9.711047000000001,Async Serial,0xD5
9.743134749999999,Async Serial,0x05
9.753083250000000,Async Serial,0x21
9.763033500000001,Async Serial,0x31
9.772981874999999,Async Serial,0x09
9.782931937500001,Async Serial,0x60
9.792984499999999,Async Serial,0xA1
9.841378187500000,Async Serial,0x09
9.881069062500000,Async Serial,0x05
9.893886625000000,Async Serial,0x31
9.901948687499999,Async Serial,0x21
9.911870750000000,Async Serial,0xFF
9.921172750000000,Async Serial,0x03
9.932748437500001,Async Serial,0xD5
9.972281625000001,Async Serial,0x05
9.982335687500001,Async Serial,0x21
9.992284500000000,Async Serial,0x31
10.002234437500000,Async Serial,0x09
10.012183687500000,Async Serial,0x60
10.022133625000000,Async Serial,0xA1
10.073518687500000,Async Serial,0x09
10.111759937500000,Async Serial,0x05
10.123749625000000,Async Serial,0x31
10.132844562500001,Async Serial,0x21
10.141837125000000,Async Serial,0xFF
10.154652937500000,Async Serial,0x03
10.163646687500000,Async Serial,0xD5
10.201534499999999,Async Serial,0x08
10.211483625000000,Async Serial,0x21
10.221433312500000,Async Serial,0x31
10.231486000000000,Async Serial,0x0B
10.241436000000000,Async Serial,0xFF
10.251384750000000,Async Serial,0x16
10.261334874999999,Async Serial,0x23
10.271283750000000,Async Serial,0x1C
10.281234000000000,Async Serial,0x9F
10.321884750000001,Async Serial,0x09
10.362399625000000,Async Serial,0x05
10.372219812499999,Async Serial,0x31
10.384210187500001,Async Serial,0x21
10.393304562499999,Async Serial,0xFF
10.402298999999999,Async Serial,0x03
10.412842250000001,Async Serial,0xD5
10.450580937500000,Async Serial,0x06
10.460634312500000,Async Serial,0x21
10.470583375000000,Async Serial,0x31
10.480533875000001,Async Serial,0x29
10.490482249999999,Async Serial,0x00
10.500535812500001,Async Serial,0xE0
10.510485437500000,Async Serial,0xCB
10.572526687500000,Async Serial,0x05
10.582656249999999,Async Serial,0x31
10.592887937500000,Async Serial,0x21
10.602500437500000,Async Serial,0xFF
10.614594562500001,Async Serial,0x03
10.623690000000000,Async Serial,0xD5
10.659934375000001,Async Serial,0x05
10.669883562500001,Async Serial,0x21
10.679834000000000,Async Serial,0x31
10.689782375000000,Async Serial,0x06
10.699836500000000,Async Serial,0x60
10.709785374999999,Async Serial,0x83
10.754640937500000,Async Serial,0x09
10.763633812500000,Async Serial,0x31
10.803012000000001,Async Serial,0x09
10.813553875000000,Async Serial,0x31
10.823476437500000,Async Serial,0x21
10.833811750000001,Async Serial,0xFB
10.843734562500000,Async Serial,0x00
10.853345687499999,Async Serial,0x22
10.864715374999999,Async Serial,0x00
10.874533687500000,Async Serial,0x00
10.883631625000000,Async Serial,0xF1
10.893346500000000,Async Serial,0x64
10.974894000000001,Async Serial,0x09
10.983681750000001,Async Serial,0x31
10.993499874999999,Async Serial,0x21
11.003422687500001,Async Serial,0x05
11.014480750000001,Async Serial,0x00
11.023476062500000,Async Serial,0x22
11.036291250000000,Async Serial,0x00
11.045283250000001,Async Serial,0x00
11.054277500000000,Async Serial,0x59
11.067093562500000,Async Serial,0x37
11.098332125000001,Async Serial,0x05
11.108384937500000,Async Serial,0x21
11.118334562499999,Async Serial,0x31
11.128387312499999,Async Serial,0xFF
11.138233687500000,Async Serial,0x62
11.148286312500000,Async Serial,0x95
13.201084500000000,Async Serial,0x05
13.211034500000000,Async Serial,0x21
13.221086937500001,Async Serial,0x31
13.231036625000000,Async Serial,0x09
13.240985750000000,Async Serial,0x60
13.250935687500000,Async Serial,0xA1
13.309085625000000,Async Serial,0x05
13.321488062500000,Async Serial,0x31
13.330583375000000,Async Serial,0x21
13.339575000000000,Async Serial,0xFF
13.352391562499999,Async Serial,0x03
13.358904500000000,Async Serial,0xD5
13.390746687500000,Async Serial,0x05
13.401109937499999,Async Serial,0x21
13.411060000000001,Async Serial,0x31
13.420387062500000,Async Serial,0x09
13.430337062500000,Async Serial,0x60
13.440285937500001,Async Serial,0xA1
13.521275937500000,Async Serial,0x05
13.531201062499999,Async Serial,0x31
13.540295499999999,Async Serial,0x21
13.549289937499999,Async Serial,0xFF
13.562107562500000,Async Serial,0x03
13.571099625000000,Async Serial,0xD5
13.609634437500000,Async Serial,0x05
13.619790374999999,Async Serial,0x21
13.629740500000000,Async Serial,0x31
13.639585687500000,Async Serial,0x09
13.649536187500001,Async Serial,0x60
13.659484250000000,Async Serial,0xA1
13.730887437500000,Async Serial,0x05
13.740811375000000,Async Serial,0x31
13.749906937500000,Async Serial,0x21
13.761792687500000,Async Serial,0xFF
13.771611750000000,Async Serial,0x03
13.780708312500000,Async Serial,0xD5
13.818986812500000,Async Serial,0x05
13.828936812500000,Async Serial,0x21
13.838885562500000,Async Serial,0x31
13.848835625000000,Async Serial,0x09
13.858784625000000,Async Serial,0x60
13.868838374999999,Async Serial,0xA1
13.940703187500000,Async Serial,0x05
13.950625499999999,Async Serial,0x31
13.961169062500000,Async Serial,0x21
13.971608625000000,Async Serial,0xFF
13.981427125000000,Async Serial,0x03
13.990522750000000,Async Serial,0xD5
14.028236562500000,Async Serial,0x08
14.038185437499999,Async Serial,0x21
14.048135625000000,Async Serial,0x31
14.058084500000000,Async Serial,0x0B
14.068138125000001,Async Serial,0x00
14.078086812500000,Async Serial,0x0D
14.088037125000000,Async Serial,0x23
14.097985687500000,Async Serial,0x4A
14.107936250000000,Async Serial,0x93
14.182556750000000,Async Serial,0x05
14.192376437500000,Async Serial,0x31
14.201576125000001,Async Serial,0x21
14.211292625000000,Async Serial,0xFF
14.221833875000000,Async Serial,0x03
14.232273500000000,Async Serial,0xD5
14.267437812500001,Async Serial,0x05
14.277386500000000,Async Serial,0x21
14.287337562499999,Async Serial,0x31
14.297285312500000,Async Serial,0x09
14.307340249999999,Async Serial,0x60
14.317287937500000,Async Serial,0xA1
14.381518124999999,Async Serial,0x05
14.391443250000000,Async Serial,0x31
14.401986875000000,Async Serial,0x21
14.411495937500000,Async Serial,0xFF
14.424313687500000,Async Serial,0x03
14.433409312500000,Async Serial,0xD5
14.466634500000000,Async Serial,0x05
14.476686500000000,Async Serial,0x21
14.486636812500000,Async Serial,0x31
14.496585500000000,Async Serial,0x09
14.506535437500000,Async Serial,0x60
14.516587812499999,Async Serial,0xA1
14.561879687499999,Async Serial,0x09
14.572319250000000,Async Serial,0x31
14.612214124999999,Async Serial,0x05
14.622034625000000,Async Serial,0x31
14.632680812500000,Async Serial,0x21
14.643118875000001,Async Serial,0xFF
14.653041937499999,Async Serial,0x03
14.662239625000000,Async Serial,0xD5
14.695885937500000,Async Serial,0x08
14.705834625000000,Async Serial,0x21
14.715888124999999,Async Serial,0x31
14.725837312499999,Async Serial,0x0B
14.735787374999999,Async Serial,0x00
14.745736000000001,Async Serial,0x00
14.755686000000001,Async Serial,0x23
14.765635874999999,Async Serial,0xE4
14.775688437499999,Async Serial,0x90
14.824198187500000,Async Serial,0x09
14.834017312500000,Async Serial,0x31
14.872568937500001,Async Serial,0x05
14.883007624999999,Async Serial,0x31
14.893033062500001,Async Serial,0x21
14.903471937500001,Async Serial,0xFF
14.913394687500000,Async Serial,0x03
14.924452562500001,Async Serial,0xD5
14.964934937500001,Async Serial,0x06
14.974988562500000,Async Serial,0x21
14.984937499999999,Async Serial,0x31
14.994887374999999,Async Serial,0x29
15.004836437500000,Async Serial,0x00
15.014889875000000,Async Serial,0xE0
15.024735124999999,Async Serial,0xCB
15.073491937500000,Async Serial,0x09
15.113284187500000,Async Serial,0x05
15.123928562500000,Async Serial,0x31
15.134368500000001,Async Serial,0x21
15.144186625000000,Async Serial,0xFF
15.153385562500000,Async Serial,0x03
15.165270937500001,Async Serial,0xD5
15.204136125000000,Async Serial,0x05
15.214190187500000,Async Serial,0x21
15.224035062500000,Async Serial,0x31
15.234089125000001,Async Serial,0x06
15.244037812500000,Async Serial,0x60
15.253987812500000,Async Serial,0x83
15.307180875000000,Async Serial,0x09
15.343873562500001,Async Serial,0x09
15.354415812499999,Async Serial,0x31
15.364856562500000,Async Serial,0x21
15.374675999999999,Async Serial,0xFB
15.383977124999999,Async Serial,0x00
15.395863937500000,Async Serial,0x00
15.405682000000001,Async Serial,0x00
15.413847625000001,Async Serial,0x00
15.424389625000000,Async Serial,0xF3
15.434312125000000,Async Serial,0xCC
15.524540812500000,Async Serial,0x09
15.536634062499999,Async Serial,0x31
15.545729000000000,Async Serial,0x21
15.554721812500000,Async Serial,0x05
15.567640562499999,Async Serial,0x00
15.574255624999999,Async Serial,0x00
15.584590875000000,Async Serial,0x00
15.594927187500000,Async Serial,0x00
15.604744937500000,Async Serial,0x5B
15.614669812500001,Async Serial,0x9F
15.652587625000001,Async Serial,0x05
15.662536250000000,Async Serial,0x21
15.672487312499999,Async Serial,0x31
15.682539437499999,Async Serial,0xFF
15.692489937500000,Async Serial,0x62
15.702437874999999,Async Serial,0x95
